tokens,caracteres,palabras_unicas
56,360,25
53,315,34
69,494,27
54,298,24
134,801,72
46,268,20
45,319,36
28,165,18
87,524,50
52,284,33
41,273,27
27,161,19
46,262,21
107,569,29
90,530,48
146,874,66
67,388,27
180,1145,148
40,225,19
58,352,27
65,427,56
38,224,33
37,221,29
116,717,65
96,629,88
64,391,48
26,142,22
57,361,28
88,511,42
93,540,58
68,433,24
112,645,53
33,204,28
39,262,24
44,271,15
84,481,57
28,188,15
90,535,48
42,249,27
80,528,58
46,318,20
138,823,93
12,64,12
27,172,26
34,214,13
61,349,32
23,125,12
68,421,38
84,581,40
8,44,5
67,439,48
21,125,13
189,1226,156
26,169,13
130,748,47
26,161,19
63,359,26
124,912,104
191,1153,102
53,336,26
195,1213,119
61,382,37
57,333,44
102,577,57
30,164,21
52,317,35
176,1142,90
58,350,39
23,156,18
57,375,21
69,397,36
141,802,71
67,388,44
37,220,23
60,356,48
36,199,14
29,139,12
60,348,30
199,1214,127
129,725,31
187,1097,132
96,657,32
70,437,22
105,540,23
89,562,27
169,1143,95
58,326,25
70,398,32
72,447,59
35,202,19
168,1038,125
74,481,50
152,914,100
120,841,57
62,393,40
45,291,24
83,563,47
161,923,86
67,421,42
45,239,31
61,386,33
89,565,65
51,357,48
8,52,6
127,844,76
46,264,34
20,110,13
83,525,61
63,352,35
23,139,19
54,304,34
185,1168,102
86,533,63
52,318,33
33,190,24
32,152,11
51,309,39
62,352,29
33,187,27
198,1304,147
67,408,43
28,170,23
72,439,54
107,679,65
70,390,31
93,568,36
128,774,58
26,152,15
75,446,37
24,161,18
183,1189,167
69,403,31
63,411,56
66,440,38
65,401,25
177,1217,135
19,132,14
56,339,50
19,108,11
117,674,62
50,266,23
182,1069,122
79,491,42
49,270,26
137,813,46
63,412,38
26,142,17
86,511,59
63,419,31
51,304,35
9,53,9
68,443,32
34,197,27
75,421,37
73,423,39
54,284,29
42,243,32
38,227,31
150,871,35
76,550,51
52,279,25
73,459,29
41,258,27
25,135,17
55,260,21
77,428,26
53,304,35
61,384,25
85,513,56
41,243,18
22,132,14
24,155,23
44,255,24
76,472,29
116,800,82
43,235,30
67,378,43
56,314,34
113,662,17
42,274,33
71,372,17
54,307,20
116,701,63
81,489,28
51,295,30
66,417,47
51,306,21
68,404,23
82,520,47
29,174,23
39,224,18
141,904,59
52,306,28
177,1131,130
29,188,24
31,165,16
47,297,38
103,626,65
62,386,27
11,62,9
125,792,87
35,245,21
27,167,24
46,273,31
81,473,65
13,73,11
68,442,32
79,496,28
72,499,17
17,96,17
60,379,34
70,408,30
104,653,52
28,201,8
53,346,36
90,515,32
26,148,24
177,1213,123
37,227,14
129,841,88
28,171,24
73,420,40
69,388,44
58,310,27
86,507,40
87,477,22
49,307,26
57,372,42
80,445,27
194,1167,117
37,218,27
43,296,26
91,507,31
60,353,42
67,389,60
160,977,102
67,389,28
8,48,5
37,261,28
43,243,37
92,626,62
72,416,37
52,369,30
73,436,26
178,1093,157
28,179,26
39,248,25
39,266,39
52,350,24
52,349,38
128,669,14
33,186,20
76,464,44
31,183,29
46,284,23
60,461,41
54,327,51
192,1172,149
73,448,45
75,434,32
50,279,20
159,941,56
96,534,40
117,698,53
48,302,25
115,643,34
66,388,52
195,1336,152
59,365,48
146,865,72
48,284,27
36,221,18
79,501,22
20,110,17
79,516,47
49,306,39
60,351,26
32,217,22
23,138,15
52,300,47
65,406,38
29,208,20
76,476,49
110,675,50
198,1264,129
69,431,45
21,135,20
51,283,24
50,330,26
42,282,23
70,412,49
75,390,29
74,407,14
163,990,76
3,13,3
43,250,34
30,180,20
100,578,43
38,226,19
97,610,82
72,442,38
77,455,60
31,177,27
48,276,17
60,342,19
20,127,15
49,312,16
81,501,52
70,460,43
87,543,39
75,475,11
71,417,60
24,143,22
95,640,47
60,361,18
36,225,20
133,948,45
50,336,24
33,209,29
39,221,29
49,305,26
39,216,19
54,320,31
95,593,46
91,572,28
59,336,27
163,1017,98
24,164,19
136,886,42
54,313,28
189,1220,112
37,262,31
31,184,21
151,951,95
53,316,23
68,439,42
179,1128,111
199,1169,108
56,307,16
32,236,14
64,361,23
47,288,37
72,413,31
32,183,30
72,461,64
56,350,28
84,498,42
28,169,25
131,844,42
93,558,75
80,502,57
95,566,52
57,426,16
25,143,22
23,130,12
46,267,25
60,365,22
80,493,49
35,208,27
189,1206,87
100,578,36
73,471,60
82,472,58
52,350,45
149,965,83
66,408,57
24,148,13
88,527,48
30,189,24
41,235,25
58,331,42
18,101,11
25,155,19
47,264,10
58,347,54
35,251,23
55,326,34
15,106,15
60,378,26
45,275,34
117,737,79
75,503,38
37,212,22
39,236,36
24,151,15
53,281,29
3,16,3
188,1078,65
35,259,25
33,208,24
71,388,50
195,1307,144
188,1206,110
75,507,66
86,537,58
24,136,18
73,469,64
83,476,27
52,354,46
33,186,25
71,420,43
149,912,131
76,462,55
23,155,19
78,583,31
90,564,39
57,374,40
42,275,33
93,542,37
101,630,46
169,1110,146
58,315,13
97,545,44
39,235,21
72,510,66
55,362,40
87,525,46
59,352,38
110,703,98
111,649,62
21,125,20
69,376,35
49,317,33
61,322,39
90,532,54
72,657,31
18,110,13
43,271,28
196,1168,113
198,1192,137
30,169,26
61,423,42
57,315,15
36,233,34
88,586,41
74,415,8
34,205,15
61,383,35
71,439,32
25,158,20
48,279,34
42,248,22
24,150,14
42,240,34
31,203,19
89,546,57
182,1100,121
59,375,37
79,501,21
27,161,13
20,134,16
155,1217,127
70,411,51
54,320,31
111,705,49
77,474,26
38,217,23
89,608,36
91,538,18
12,63,6
44,247,15
27,182,19
45,281,28
79,457,41
75,447,22
78,437,33
81,444,35
85,548,41
171,1077,62
25,155,16
31,192,29
117,717,53
94,588,60
36,215,21
33,200,25
52,329,31
93,568,56
59,312,12
50,292,44
65,389,37
78,507,51
110,573,54
18,108,16
59,377,38
87,558,50
61,468,45
49,272,17
150,1017,85
191,1318,85
24,142,24
37,236,10
66,453,41
63,452,58
39,241,16
43,250,20
57,341,42
78,478,32
90,543,59
111,812,66
189,1565,180
62,364,27
48,303,29
149,829,36
32,222,26
64,395,27
27,138,17
32,201,15
97,648,76
95,563,65
48,282,25
59,372,41
50,291,43
42,231,9
187,1215,133
175,1082,66
91,563,61
79,456,31
54,300,35
47,341,36
94,550,49
45,293,21
72,452,49
44,287,32
71,395,34
37,211,35
72,516,33
132,828,76
126,812,79
109,638,44
60,334,34
28,185,21
32,209,28
36,187,17
116,810,38
73,449,31
50,302,35
86,526,70
52,322,28
42,247,27
30,193,23
156,1011,92
183,1038,72
168,1039,128
124,731,44
46,327,27
114,646,41
44,282,30
70,410,59
59,346,46
59,416,25
34,202,28
107,669,69
65,366,34
49,323,42
102,646,69
39,227,21
55,314,34
43,255,40
88,533,51
33,192,19
115,656,71
64,419,28
80,448,55
156,937,96
83,487,28
40,239,33
46,252,31
61,350,50
67,405,24
71,411,41
27,179,15
61,368,50
77,482,31
65,389,31
