tokens,caracteres,palabras_unicas
28,154,20
44,282,26
41,252,14
70,426,41
58,326,30
80,430,33
45,253,30
64,399,29
105,631,34
73,432,25
40,242,21
97,531,42
73,419,49
102,513,21
172,1159,135
30,177,14
26,164,12
40,255,35
71,399,41
176,1453,151
58,370,28
40,233,17
55,329,48
56,336,33
30,182,24
81,481,27
34,184,19
104,555,41
49,286,23
108,701,36
72,413,32
86,596,55
148,875,107
21,114,19
22,150,16
132,865,89
51,297,24
65,395,31
100,572,67
29,155,11
33,182,19
64,405,34
59,385,14
54,305,37
32,165,11
152,913,74
114,656,50
50,336,33
61,359,35
43,293,24
68,407,42
98,551,40
130,797,60
105,553,37
30,148,11
87,471,30
44,253,33
37,224,29
73,390,25
92,554,44
83,459,32
35,219,29
77,454,40
43,267,33
71,451,64
46,299,43
68,424,51
40,230,20
157,961,43
69,387,34
25,149,17
103,677,39
17,112,12
56,321,37
81,484,41
107,682,33
156,1003,62
26,165,21
54,298,38
47,296,34
104,624,50
70,433,24
107,626,42
138,797,78
161,960,132
44,247,38
38,216,14
100,677,91
49,277,45
165,981,109
31,201,17
87,542,57
75,486,43
91,511,51
121,690,38
98,661,78
185,1164,123
151,915,107
24,145,20
3,21,3
70,439,33
77,527,71
94,581,63
99,606,38
2,9,1
70,394,33
169,910,42
40,277,31
72,447,36
55,318,23
72,464,40
51,288,48
23,169,14
52,308,33
85,542,56
27,144,23
109,647,65
74,413,22
53,316,36
79,499,52
75,519,48
18,103,14
101,582,38
115,772,82
35,204,25
71,449,55
131,716,45
85,458,50
47,283,39
49,329,29
116,617,37
93,584,35
114,667,38
69,536,13
65,383,36
27,181,26
61,370,29
71,427,43
56,335,30
42,241,22
171,1153,73
125,747,91
93,568,56
43,241,28
75,453,44
28,170,11
96,567,47
56,337,30
48,331,23
11,67,11
45,269,36
196,1294,153
157,939,106
54,323,30
162,980,106
49,259,20
55,370,39
73,484,44
50,288,32
51,290,34
54,371,45
110,703,92
99,654,80
41,222,33
83,531,61
75,421,39
47,308,43
111,657,42
47,315,18
48,272,30
88,530,67
86,617,52
36,206,28
53,293,29
84,520,51
84,511,53
104,648,54
168,1062,138
13,96,10
44,257,37
28,191,20
54,318,33
133,840,36
47,279,29
109,676,62
66,362,19
29,183,17
120,738,57
62,373,34
160,907,98
66,379,31
137,829,60
122,1012,45
65,367,37
68,377,26
63,399,31
63,265,18
24,152,17
40,257,19
39,237,34
16,97,10
59,387,50
80,580,69
26,164,22
47,300,28
34,199,27
181,1158,139
109,734,88
69,438,40
56,304,45
132,829,41
46,277,31
79,442,36
183,1158,148
48,281,28
59,324,31
26,154,19
117,629,43
40,243,26
50,293,25
21,158,20
90,530,49
58,342,47
69,407,33
39,284,21
36,249,28
105,650,70
66,432,36
39,243,30
66,411,49
72,414,42
151,964,106
144,909,90
94,531,39
50,277,19
163,1057,66
75,417,33
73,415,34
61,383,35
52,385,32
43,269,32
162,942,73
39,203,23
187,1104,136
76,490,67
112,730,45
33,209,27
37,211,20
39,233,15
71,442,47
69,440,8
48,309,29
121,1046,57
31,245,19
64,374,19
61,366,48
97,520,21
25,150,20
184,1072,92
52,287,23
18,101,10
22,119,12
198,1253,135
58,352,33
46,248,26
81,475,39
58,369,24
184,1047,56
15,74,3
19,145,17
130,814,91
87,546,25
163,932,47
48,336,48
69,406,46
49,299,26
61,408,54
29,168,11
86,475,47
38,218,21
30,224,26
71,447,54
59,363,39
156,1002,75
36,198,19
34,197,20
58,359,35
48,295,35
118,674,56
34,231,12
38,247,19
74,481,34
47,305,26
62,311,25
109,622,39
80,483,72
146,869,115
73,421,22
21,130,16
71,462,47
67,360,32
60,418,53
33,168,10
85,462,37
85,487,23
58,339,36
105,689,83
38,231,18
36,210,21
31,208,15
67,535,39
128,673,24
69,471,25
39,249,31
57,337,35
197,1160,113
74,455,41
114,644,27
40,230,30
88,498,31
110,639,83
26,153,20
194,1124,92
63,377,24
71,394,33
33,212,9
29,185,28
59,336,26
56,338,42
68,400,48
51,317,26
48,291,23
20,145,12
99,645,50
48,290,23
79,467,31
48,315,33
43,224,18
8,48,8
78,450,49
77,455,24
84,510,39
63,392,40
80,532,30
73,503,36
74,459,40
129,806,42
68,422,38
42,275,35
76,480,38
31,185,21
45,256,30
53,375,35
18,105,11
83,486,52
149,909,32
76,458,28
54,325,36
194,1233,89
168,1032,113
44,247,21
125,718,41
57,390,51
105,628,61
55,361,48
96,542,50
21,127,16
78,437,10
39,251,19
146,939,117
41,249,28
102,613,39
103,612,30
98,633,35
78,454,34
20,149,16
66,404,35
53,290,26
45,341,27
72,474,30
86,511,17
166,1250,143
54,312,46
24,146,21
186,1214,125
46,285,23
38,205,21
93,538,33
45,273,23
56,363,36
54,300,33
90,526,43
126,722,41
99,567,43
134,839,53
67,427,56
